X,Y,OBJECTID,TRADE_NAME,LICENCE_NUMBER,licence_status,ISSUED_DATE,Covers_FROM,Covers_TO,LICENCE_TYPE_NAME,naics_description,trade_description,MailingAddress,gislink,legal_id,AMOUNT,CIVIC_UNIT,CIVIC_HOUSE,CIVIC_STREET,CIVIC_ADDRESS,Neighbourhood
472677.8561,5366012.794,11,ONO POKE,00047238,APPROVED,20240716,20240715,20241231,RESTAURANT - TAKE OUT FOOD,Accommodation & food services / Food services & drinking places / Full-serv. rest. & limited-serv. eating place,RESTAURANT - TAKE OUT FOOD,"FC12-3147 DOUGLAS ST
VICTORIA BC  V8Z 6E3",V06841008,62094C170119084452160000,100,FC12,3147,DOUGLAS ST,"FC12-3147 DOUGLAS ST
VICTORIA BC  V8Z 6E3",BURNSIDE
472941.003,5364588.7811,12,QUADRATIC SOUND,00042752,APPROVED,20240105,20240101,20241231,BUSINESS SERVICES - SOUND RECORD/MOTION PICTURE,Information & cultural industries / Motion picture & sound recording industries,BUSINESS SERVICES - MOTION PICTURE & SOUND RECORDING,"655 QUEENS AVE
VICTORIA BC  V8T 1L9",01052003,1920020328155112380000,100,,655,QUEENS AVE,"655 QUEENS AVE
VICTORIA BC  V8T 1L9",BURNSIDE
472692.7574,5363774.5373,13,(DBA) CYBER SECURITY TECH,00046274,APPROVED,20240131,20240201,20241231,COMPUTER SERVICES - DEVELOP & DESIGN,"Professional, scientific & technical services / Professional, scientific & technical services / Computer systems design & related services",COMPUTER SERVICES - DEVELOPMENT & DESIGN,"200-535 YATES ST
VICTORIA BC  V8W 2Z6",01064005,81127C170403135801740000,100,200,535,YATES ST,"200-535 YATES ST
VICTORIA BC  V8W 2Z6",DOWNTOWN
471197.7482,5364282.1619,14,0701468 BC LTD,17059,APPROVED,20231218,20240101,20241231,WASHERS OR  DRYERS - VARIOUS,Other services (exc. Public administration) / Personal & laundry services / Dry cleaning & laundry services,WASHERS OR  DRYERS - VARIOUS,"104-4226 COMMERCE CIRCLE
VICTORIA BC  V8Z 6N6",12789024,1920020328213026840000,44,,614,ESQUIMALT RD,"614 ESQUIMALT RD
VICTORIA BC  V9A 3L4",VICTORIA WEST
474457.9689,5363147.6155,15,"TU, WEI",00027920,APPROVED,20240305,20240101,20241231,NON-TRANSIENT ACCOMMODATION - ROOMS,Health care & social assistance / Nursing & residential care facilities / Community care facilities for the elderly,NON-TRANSIENT ACCOMMODATION - ROOMS,"1770 ASH RD
VICTORIA BC  V8N 2T6",04295052,1920020328171201460000,160,,1322,ROCKLAND AVE,"1322 ROCKLAND AVE
VICTORIA BC  V8S 1V6",ROCKLAND
474457.9689,5363147.6155,16,"TU, WEI",00027921,APPROVED,20240305,20240101,20241231,WASHERS OR  DRYERS - VARIOUS,Health care & social assistance / Nursing & residential care facilities / Community care facilities for the elderly,WASHERS OR  DRYERS - VARIOUS,"1770 ASH RD
VICTORIA BC  V8N 2T6",04295052,1920020328171201460000,22,,1322,ROCKLAND AVE,"1322 ROCKLAND AVE
VICTORIA BC  V8S 1V6",ROCKLAND
475766.1926,5363723.7139,17,0709014 BC LTD,15454,APPROVED,20240123,20240101,20241231,PERSONAL SERVICES - ESTHETICS,Other services (exc. Public administration) / Personal & laundry services / Personal care services,PERSONAL SERVICES - ESTHETICS,"112-1841 OAK BAY AVE
VICTORIA BC  V8R 1C4",06375002,020320020913135332400000,100,112,1841,OAK BAY AVE,"112-1841 OAK BAY AVE
VICTORIA BC  V8R 1C4",GONZALES
473119.3581,5363763.3539,18,0725598 BC LTD,00035071,APPROVED,20240110,20240101,20241231,NON-PRINCIPAL RESIDENT OPERATOR - OWNER,Accommodation & food services / Accommodation services / Traveller accommodation,SHORT TERM RENTAL,"1203-60 SAGHALIE RD
VICTORIA BC  V9A 0H1",029-519-179,96639C150327093930110000,1500,1407,728,YATES ST,"1407-728 YATES ST
VICTORIA BC  V8W 0C8",DOWNTOWN
475271.9321,5361990.8794,19,0745652 BC LTD,00043125,APPROVED,20231229,20240101,20241231,NON-TRANSIENT ACCOMMODATION - ROOMS,Real estate & rental & leasing / Real estate / Lessors of real estate,NON-TRANSIENT ACCOMMODATION - ROOMS,"5455 BAYSHORE DR
NANAIMO BC  V9V 1G9",05333004,1920020328173113050000,60,,1647,ROSS ST,"1647 ROSS ST
VICTORIA BC  V8S 1J9",GONZALES
473059.2803,5363186.4636,20,0745652 BC LTD,00046057,APPROVED,20240116,20240101,20241231,NON-TRANSIENT TWO BEDROOM - NON TRANSIENT,Real estate & rental & leasing / Real estate / Lessors of real estate,NON-TRANSIENT TWO BEDROOM - NON TRANSIENT,"5455 BAYSHORE DR
NANAIMO BC  V9V 1G9",026-606-381,386C20060310090232800000,20,209,751,FAIRFIELD RD,"209-751 FAIRFIELD RD
VICTORIA BC  V8W 4A4",DOWNTOWN
472799.3448,5363411.0821,21,10 ACRES BISTRO & BAR,00029874,APPROVED,20231227,20240101,20241231,RESTAURANT W/FOOD PRIMARY LIQUOR LIC. - GENERAL,Accommodation & food services / Food services & drinking places / Full-serv. rest. & limited-serv. eating place,RESTAURANT W/FOOD PRIMARY LIQUOR LIC. - GENERAL,"611 COURTNEY ST
VICTORIA BC  V8W 1B7",01033002,386320020530112223030000,200,,611,COURTNEY ST,"611 COURTNEY ST
VICTORIA BC  V8W 1B7",DOWNTOWN
473109.529,5363324.4798,22,SMITHS PUB & RESTAURANT,15782,APPROVED,20240115,20240101,20241231,RESTAURANT - GENERAL,Accommodation & food services / Food services & drinking places / Full-serv. rest. & limited-serv. eating place,RESTAURANT - GENERAL,"850 BLANSHARD ST
VICTORIA BC  V8W 2H2",01026008,1920020328154935520000,100,,850,BLANSHARD ST,"850 BLANSHARD ST
VICTORIA BC  V8W 2H2",DOWNTOWN
473109.529,5363324.4798,23,SMITHS PUB & RESTAURANT,15783,APPROVED,20240115,20240101,20241231,LIQUOR MANAGEMENT - MANAGEMENT,Accommodation & food services / Food services & drinking places,LIQUOR MANAGEMENT - MANAGEMENT,"850 BLANSHARD ST
VICTORIA BC  V8W 2H2",01026008,1920020328154935520000,100,,850,BLANSHARD ST,"850 BLANSHARD ST
VICTORIA BC  V8W 2H2",DOWNTOWN
473486.573,5364730.0554,24,QUADRA ESTATES,3544,APPROVED,20231212,20240101,20241231,NON-TRANSIENT ACCOMMODATION - ROOMS,Real estate & rental & leasing / Real estate / Lessors of real estate,NON-TRANSIENT ACCOMMODATION - ROOMS,"QUADRA ESTATES
1413 DENMAN ST
VICTORIA BC  V8R 1X5",07505002,1920020328195335520000,125,,2460,QUADRA ST,"2460 QUADRA ST
VICTORIA BC  V8T 4C8",NORTH PARK
473486.573,5364730.0554,25,QUADRA ESTATES,3545,APPROVED,20231212,20240101,20241231,WASHERS OR  DRYERS - VARIOUS,Other services (exc. Public administration) / Personal & laundry services / Dry cleaning & laundry services,WASHERS OR  DRYERS - VARIOUS,"QUADRA ESTATES
1413 DENMAN ST
VICTORIA BC  V8R 1X5",07505002,1920020328195335520000,22,,2460,QUADRA ST,"2460 QUADRA ST
VICTORIA BC  V8T 4C8",NORTH PARK
476099.9839,5363721.2438,26,HUSH LASH STUDIO,00038177,APPROVED,20240222,20240101,20241231,PERSONAL SERVICES - ESTHETICS,Other services (exc. Public administration) / Personal & laundry services / Personal care services,PERSONAL SERVICES - ESTHETICS,"1072 FOUL BAY RD
VICTORIA BC  V8S 4J2",029-399-521,61146C140929133751370000,100,,1072,FOUL BAY RD,"1072 FOUL BAY RD
VICTORIA BC  V8S 4J2",GONZALES
473464.424,5364437.446,27,HUSKY QUADRA VICTORIA,00027155,APPROVED,20231229,20240101,20241231,AUTOMOTIVE - GAS BAR,Retail trade / Gasoline stations / Gasoline stations,AUTOMOTIVE - GAS BAR,"2100 QUADRA ST
VICTORIA BC  V8T 4C5",07508012,1920020328195425130000,100,,2100,QUADRA ST,"2100 QUADRA ST
VICTORIA BC  V8T 4C5",NORTH PARK
473464.424,5364437.446,28,HUSKY QUADRA VICTORIA,00027156,APPROVED,20231229,20240101,20241231,LOTTERY TICKET  MACHINES - VARIOUS,Retail trade / Gasoline stations / Gasoline stations,LOTTERY TICKET  MACHINES - VARIOUS,"2100 QUADRA ST
VICTORIA BC  V8T 4C5",07508012,1920020328195425130000,100,,2100,QUADRA ST,"2100 QUADRA ST
VICTORIA BC  V8T 4C5",NORTH PARK
473464.424,5364437.446,29,HUSKY QUADRA VICTORIA,00027157,APPROVED,20231229,20240101,20241231,AUTOMATIC VENDING MACHINES - VARIOUS,Retail trade / Gasoline stations / Gasoline stations,AUTOMATIC VENDING MACHINES - VARIOUS,"2100 QUADRA ST
VICTORIA BC  V8T 4C5",07508012,1920020328195425130000,15,,2100,QUADRA ST,"2100 QUADRA ST
VICTORIA BC  V8T 4C5",NORTH PARK
473459.6451,5362928.2708,30,CAPREIT,00030498,APPROVED,20231211,20240101,20241231,NON-TRANSIENT ACCOMMODATION - APARTMENT,Real estate & rental & leasing / Real estate / Lessors of real estate,NON-TRANSIENT ACCOMMODATION - APARTMENT,"C/O CAPREIT
401-11 CHURCH ST
TORONTO ON  M5E 1W1",03199011,1920020328163856150000,665,,967,COLLINSON ST,"967 COLLINSON ST
VICTORIA BC  V8V 3B7",FAIRFIELD
473459.6451,5362928.2708,31,CAPREIT,00030499,APPROVED,20231211,20240101,20241231,WASHERS OR  DRYERS - VARIOUS,Real estate & rental & leasing / Real estate / Lessors of real estate,WASHERS OR  DRYERS - VARIOUS,"C/O CAPREIT
401-11 CHURCH ST
TORONTO ON  M5E 1W1",03199011,1920020328163856150000,66,,967,COLLINSON ST,"967 COLLINSON ST
VICTORIA BC  V8V 3B7",FAIRFIELD
472905.2752,5363549.1504,32,LIGHTHOUSE STUDENT CENTRE,17016,APPROVED,20231205,20240101,20241231,BUSINESS SERVICES - CONSULTANT,"Professional, scientific & technical services / Professional, scientific & technical services / Mgmt., scientific & technical consulting serv",BUSINESS SERVICES - CONSULTANT,"12-671 FORT ST
VICTORIA BC  V8W 1G7",01036001,736920020726152801950000,100,12,671,FORT ST,"12-671 FORT ST
VICTORIA BC  V8W 1G7",DOWNTOWN
472921.7167,5362910.8438,33,HELM'S INN,17736,APPROVED,20240110,20240101,20241231,TRANSIENT ACCOMMODATION - HOTEL,Accommodation & food services / Accommodation services / Traveller accommodation,TRANSIENT ACCOMMODATION - HOTEL,"3366 DOUGLAS ST
VICTORIA BC  V8Z 3L3",02169005,1920020328163301150000,205,,600,DOUGLAS ST,"600 DOUGLAS ST
VICTORIA BC  V8V 2P8",JAMES BAY
472921.7167,5362910.8438,34,HELM'S INN,17870,APPROVED,20240110,20240101,20241231,WASHERS OR  DRYERS - VARIOUS,Other services (exc. Public administration) / Personal & laundry services / Dry cleaning & laundry services,WASHERS OR  DRYERS - VARIOUS,"3366 DOUGLAS ST
VICTORIA BC  V8Z 3L3",02169005,1920020328163301150000,11,,600,DOUGLAS ST,"600 DOUGLAS ST
VICTORIA BC  V8V 2P8",JAMES BAY
472921.7167,5362910.8438,35,HELM'S INN,17871,APPROVED,20240110,20240101,20241231,AUTOMATIC VENDING MACHINES - VARIOUS,Retail trade / Non-store retailers / Vending machine operators,AUTOMATIC VENDING MACHINES - VARIOUS,"3366 DOUGLAS ST
VICTORIA BC  V8Z 3L3",02169005,1920020328163301150000,15,,600,DOUGLAS ST,"600 DOUGLAS ST
VICTORIA BC  V8V 2P8",JAMES BAY
472895.8119,5362908.621,36,HELM'S INN,17869,APPROVED,20240110,20240101,20241231,TRANSIENT ACCOMMODATION - HOTEL,Accommodation & food services / Accommodation services / Traveller accommodation,TRANSIENT ACCOMMODATION - HOTEL,"3366 DOUGLAS ST
VICTORIA BC  V8Z 3L3",02169006,1920020328163301800000,325,,668,SUPERIOR ST,"668 SUPERIOR ST
VICTORIA BC  V8V 1V2",JAMES BAY
472731.3653,5365705.4567,37,PINE LIGHTING VICTORIA,19689,APPROVED,20240126,20240101,20241231,WHOLESALE - VARIOUS,Wholesale trade,WHOLESALE - VARIOUS,"790 SPRUCE AVE
VICTORIA BC  V8T 5A5",09688007,229820021007140343740000,200,,790,SPRUCE AVE,"790 SPRUCE AVE
VICTORIA BC  V8T 5A5",BURNSIDE
471456.2256,5365582.0664,38,0807628 BC LTD,17610,APPROVED,20240105,20240101,20241231,LIQUOR PRIMARY OUTSIDE AREA W/PER SEAT CHARGE - GENERAL,Accommodation & food services / Food services & drinking places / Drinking places (alcoholic beverages),LIQUOR PRIMARY OUTSIDE AREA W/PER SEAT CHARGE - GENERAL,"123 GORGE RD E
VICTORIA BC  V9A 1L1",11759024,1920020328211920300000,2010,,123,GORGE RD E,"123 GORGE RD E
VICTORIA BC  V9A 1L1",BURNSIDE
472930.0118,5363512.4909,39,FRESHII,00042653,APPROVED,20231229,20240101,20241231,RESTAURANT - TAKE OUT FOOD,Accommodation & food services / Food services & drinking places / Full-serv. rest. & limited-serv. eating place,RESTAURANT - TAKE OUT FOOD,"1000 DOUGLAS ST
VICTORIA BC  V8W 2C3",01036003,1920020328154959310000,100,,1000,DOUGLAS ST,"1000 DOUGLAS ST
VICTORIA BC  V8W 2C3",DOWNTOWN
473200.4247,5364142.7646,40,HUDSON HOUSE,00043979,APPROVED,20240116,20240101,20241231,NON-TRANSIENT ACCOMMODATION - APARTMENT,Real estate & rental & leasing / Real estate / Lessors of real estate,NON-TRANSIENT ACCOMMODATION - APARTMENT,"C/O RICHARD IIICH
1212-450 SW MARINE DR
VANCOUVER BC  V5X 0C3",V00171013,21093C200505113307086756,3640,,1700,BLANSHARD ST,"1700 BLANSHARD ST
VICTORIA BC  V8W 0G8",DOWNTOWN
473155.8723,5364124.3078,41,HUDSON MEWS,00028483,APPROVED,20240116,20240101,20241231,NON-TRANSIENT ACCOMMODATION - APARTMENT,Real estate & rental & leasing / Real estate / Lessors of real estate,NON-TRANSIENT ACCOMMODATION - APARTMENT,"1212–450 SW MARINE DRIVE
VANCOUVER BC  V5X 0C3",V00171005,72162C081204140341850000,1990,,780,FISGARD ST,"780 FISGARD ST
VICTORIA BC  V8W 0E1",DOWNTOWN
473118.764,5364235.1852,42,HUDSON WALK ONE,00032480,APPROVED,20240116,20240101,20241231,NON-TRANSIENT ACCOMMODATION - APARTMENT,Real estate & rental & leasing / Real estate / Lessors of real estate,NON-TRANSIENT ACCOMMODATION - APARTMENT,"1212-450 SW MARINE DR
VANCOUVER BC V5X 0C3",V00161018,83110C180316092207896226,2460,,755,CALEDONIA AVE,"755 CALEDONIA AVE
VICTORIA BC  V8T 0C2",DOWNTOWN
473181.4759,5364254.604,43,HUDSON WALK TWO,00033893,APPROVED,20240116,20240101,20241231,NON-TRANSIENT ACCOMMODATION - APARTMENT,Real estate & rental & leasing / Real estate / Lessors of real estate,NON-TRANSIENT ACCOMMODATION - APARTMENT,"1212-450 SW MARINE DR
VANCOUVER BC  V5X 0C3",V00161019,83110C180316092216428782,1790,,785,CALEDONIA AVE,"785 CALEDONIA AVE
VICTORIA BC  V8T 0C3",DOWNTOWN
475775.8155,5363989.6258,44,0834967 BC LTD,00046745,APPROVED,20240423,20240411,20241231,NON-TRANSIENT ACCOMMODATION - APARTMENT,Real estate & rental & leasing / Real estate / Lessors of real estate,NON-TRANSIENT ACCOMMODATION - APARTMENT,"PO BOX 5048
VICTORIA BC  V8R 6N3",06390018,1920020328181431610000,240,,1711,DUCHESS ST,"1711 DUCHESS ST
VICTORIA BC  V8R 4W2",SOUTH JUBILEE
475775.8155,5363989.6258,45,0834967 BC LTD,00046746,APPROVED,20240423,20240411,20241231,WASHERS OR  DRYERS - VARIOUS,Real estate & rental & leasing / Real estate / Lessors of real estate,WASHERS OR  DRYERS - VARIOUS,"PO BOX 5048
VICTORIA BC  V8R 6N3",06390018,1920020328181431610000,22,,1711,DUCHESS ST,"1711 DUCHESS ST
VICTORIA BC  V8R 4W2",SOUTH JUBILEE
472952.9085,5365341.3081,46,0841127 BC LTD,00026096,APPROVED,20231211,20240101,20241231,PROFESSIONAL - ARCHITECT,"Professional, scientific & technical services / Professional, scientific & technical services / Architectural, engineering & related services",PROFESSIONAL - ARCHITECT,"C/O PREMIUM URBAN DESIGN
204-2840 NANAIMO ST
VICTORIA BC  V8T 4W9",09692024,63222C130624141228880000,100,206,2840,NANAIMO ST,"206-2840 NANAIMO ST
VICTORIA BC  V8T 4W9",BURNSIDE
473979.249,5363306.1749,47,0842759 BC LTD,00046818,APPROVED,20240509,20240419,20241231,NON-TRANSIENT ACCOMMODATION - APARTMENT,Real estate & rental & leasing / Real estate / Lessors of real estate,NON-TRANSIENT ACCOMMODATION - APARTMENT,"C/O RAVEN PROPERTY MANAGEMENT
115-328 WALE RD
VICTORIA BC  V9B 0J8",03213007,1920020328164356830000,190,,1165,MEARES ST,"1165 MEARES ST
VICTORIA BC  V8V 3J9",FAIRFIELD
473979.249,5363306.1749,48,0842759 BC LTD,00046820,APPROVED,20240509,20240419,20241231,WASHERS OR  DRYERS - VARIOUS,Real estate & rental & leasing / Real estate / Lessors of real estate,WASHERS OR  DRYERS - VARIOUS,"C/O RAVEN PROPERTY MANAGEMENT
115-328 WALE RD
VICTORIA BC  V9B 0J8",03213007,1920020328164356830000,22,,1165,MEARES ST,"1165 MEARES ST
VICTORIA BC  V8V 3J9",FAIRFIELD
473073.9335,5364489.7293,49,CROSSFIT ZONE,19254,APPROVED,20240229,20240101,20241231,PERSONAL SERVICES - HEALTH CLUB,"Arts, entertainment & recreation / Amusement, gambling & recreation industries / Other amusement & recreation industries",PERSONAL SERVICES - HEALTH CLUB,"708 PEMBROKE ST
VICTORIA BC  V8T 1H8",01013020,400C20041124112345190000,100,,708,PEMBROKE ST,"708 PEMBROKE ST
VICTORIA BC  V8T 1H8",BURNSIDE
473350.8178,5362805.7886,50,CAPREIT,00030496,APPROVED,20231211,20240101,20241231,NON-TRANSIENT ACCOMMODATION - APARTMENT,Real estate & rental & leasing / Real estate / Lessors of real estate,NON-TRANSIENT ACCOMMODATION - APARTMENT,"C/O CAPREIT
401-11 CHURCH ST
TORONTO ON  M5E 1W1",03195004,1920020328163649070000,640,,955,HUMBOLDT ST,"955 HUMBOLDT ST
VICTORIA BC  V8V 2Z9",FAIRFIELD
473350.8178,5362805.7886,51,CAPREIT,00030497,APPROVED,20231211,20240101,20241231,WASHERS OR  DRYERS - VARIOUS,Real estate & rental & leasing / Real estate / Lessors of real estate,WASHERS OR  DRYERS - VARIOUS,"C/O CAPREIT
401-11 CHURCH ST
TORONTO ON  M5E 1W1",03195004,1920020328163649070000,66,,955,HUMBOLDT ST,"955 HUMBOLDT ST
VICTORIA BC  V8V 2Z9",FAIRFIELD
471431.0614,5364239.4888,52,VI AUTO EXCHANGE,00028480,APPROVED,20240117,20240101,20241231,AUTOMOTIVE - USED SALES - USED CAR SALES,Retail trade / Motor vehicle & parts dealers / Automobile dealers,AUTOMOTIVE - USED SALES - USED CAR SALES,"402 ESQUIMALT RD
VICTORIA BC  V9A 3L1",12799005,1920020328213514160000,200,,402,ESQUIMALT RD,"402 ESQUIMALT RD
VICTORIA BC  V9A 3L1",VICTORIA WEST
472109.363,5362191.8252,53,0849826 BC LTD,23251,APPROVED,20231120,20240101,20241231,NON-TRANSIENT ACCOMMODATION - APARTMENT,Real estate & rental & leasing / Real estate / Lessors of real estate,NON-TRANSIENT ACCOMMODATION - APARTMENT,"110 RONALD DR
MONTREAL WEST QC  H4X 1M8",02153018,1920020328162537450000,70,,15,MENZIES ST,"15 MENZIES ST
VICTORIA BC  V8V 2G1",JAMES BAY
472109.363,5362191.8252,54,0849826 BC LTD,23252,APPROVED,20231120,20240101,20241231,WASHERS OR  DRYERS - VARIOUS,Other services (exc. Public administration) / Personal & laundry services / Dry cleaning & laundry services,WASHERS OR  DRYERS - VARIOUS,"110 RONALD DR
MONTREAL WEST QC  H4X 1M8",02153018,1920020328162537450000,22,,15,MENZIES ST,"15 MENZIES ST
VICTORIA BC  V8V 2G1",JAMES BAY
474847.0867,5363595.6453,55,APARTMENTS R US,23250,APPROVED,20231120,20240101,20241231,NON-TRANSIENT ACCOMMODATION - APARTMENT,Real estate & rental & leasing / Real estate / Lessors of real estate,NON-TRANSIENT ACCOMMODATION - APARTMENT,"64-1204 YATES ST
VICTORIA BC  V8V 4V1",04301090,1920020328171446950000,90,,1479,FORT ST,"1479 FORT ST
VICTORIA BC  V8S 1Z4",ROCKLAND
472884.2551,5363623.1854,56,UMI SUSHI EXPRESS,20086,APPROVED,20240124,20240101,20241231,RESTAURANT - TAKE OUT FOOD,Retail trade / Misc. store retailers,RESTAURANT - TAKE OUT FOOD,"761 CLAREMONT AVENUE
VICTORIA BC  V8Y 1J9",01039012,093920020920150630870000,100,412,1150,DOUGLAS ST,"412-1150 DOUGLAS ST
VICTORIA BC  V8W 3M9",DOWNTOWN
473101.6372,5364973.0814,57,CHEK MEDIA GROUP,20464,APPROVED,20231130,20240101,20241231,BROADCASTING - T.V,Information & cultural industries / Broadcasting (except internet) / Radio & television broadcasting,BROADCASTING - T.V,"780 KINGS RD
VICTORIA BC  V8T 5A2",09696022,1920020328210116390000,250,,780,KINGS RD,"780 KINGS RD
VICTORIA BC  V8T 5A2",BURNSIDE
473101.6372,5364973.0814,58,CHEK MEDIA GROUP,20467,APPROVED,20231130,20240101,20241231,BUSINESS SERVICES - GENERAL,"Admin., support, waste mgmt & remed. services / Administrative & support services / Business support services",BUSINESS SERVICES - GENERAL,"780 KINGS RD
VICTORIA BC  V8T 5A2",09696022,1920020328210116390000,100,,780,KINGS RD,"780 KINGS RD
VICTORIA BC  V8T 5A2",BURNSIDE
473079.3534,5363328.8825,59,MART TECHNOLOGIES,00043824,APPROVED,20231213,20240101,20241231,BUSINESS SERVICES - GENERAL,"Admin., support, waste mgmt & remed. services / Administrative & support services / Business support services",BUSINESS SERVICES - GENERAL,"200-759 COURTNEY ST
VICTORIA BC  V8W 2H2",01026016,49892C150925093729590000,100,200,759,COURTNEY ST,"200-759 COURTNEY ST
VICTORIA BC  V8W 1C3",DOWNTOWN
475219.5593,5365777.9704,60,LITTLE CAESARS PIZZA,23844,APPROVED,20240130,20240101,20241231,RESTAURANT - TAKE OUT FOOD,Accommodation & food services / Food services & drinking places / Full-serv. rest. & limited-serv. eating place,RESTAURANT - TAKE OUT FOOD,"BOX 420049 RPO NORTH
LAKE COUNTRY BC  V4V 1Z8",08602011,72135C110531104635440000,100,,1627,HILLSIDE AVE,"1627 HILLSIDE AVE
VICTORIA BC  V8T 2C3",OAKLANDS
473650.3482,5362400.2446,61,ISLAND MEAT & SEAFOOD,21235,APPROVED,20231212,20240101,20241231,RETAIL - GENERAL,Retail trade / Misc. store retailers,RETAIL - GENERAL,"307 COOK ST
VICTORIA BC  V8V 3X5",03226028,188320021001125856030000,100,,307,COOK ST,"307 COOK ST
VICTORIA BC  V8V 3X5",FAIRFIELD
